#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,0,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202225Z,59,battery_level,hospital_device_data,Blood Refrigerators,CG2-DEV-003,Non-Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,1,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202225Z,2.99,current,hospital_device_data,Blood Refrigerators,CG2-DEV-003,Non-Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,2,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202225Z,0,error_count,hospital_device_data,Blood Refrigerators,CG2-DEV-003,Non-Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Active
,,3,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202225Z,81,health_percent,hospital_device_data,Blood Refrigerators,CG2-DEV-003,Non-Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Active
,,4,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202225Z,76,load,hospital_device_data,Blood Refrigerators,CG2-DEV-003,Non-Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,5,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202225Z,29.54,temperature,hospital_device_data,Blood Refrigerators,CG2-DEV-003,Non-Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Active
,,6,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202225Z,220.13,voltage,hospital_device_data,Blood Refrigerators,CG2-DEV-003,Non-Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,7,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202295Z,62,battery_level,hospital_device_data,Blood Refrigerators,CG2-DEV-011,Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,8,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202295Z,1.93,current,hospital_device_data,Blood Refrigerators,CG2-DEV-011,Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,9,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202295Z,3,error_count,hospital_device_data,Blood Refrigerators,CG2-DEV-011,Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Down
,,10,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202295Z,91,health_percent,hospital_device_data,Blood Refrigerators,CG2-DEV-011,Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Down
,,11,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202295Z,49,load,hospital_device_data,Blood Refrigerators,CG2-DEV-011,Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,12,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202295Z,22.99,temperature,hospital_device_data,Blood Refrigerators,CG2-DEV-011,Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Down
,,13,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202295Z,222.04,voltage,hospital_device_data,Blood Refrigerators,CG2-DEV-011,Critical,Healthy,City General,CG2,Downtown,Medtronic,ER-1,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,14,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.20231Z,81,battery_level,hospital_device_data,Blood Refrigerators,CG2-DEV-013,Non-Critical,Healthy,City General,CG2,Downtown,Philips,ICU-1,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,15,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.20231Z,1.88,current,hospital_device_data,Blood Refrigerators,CG2-DEV-013,Non-Critical,Healthy,City General,CG2,Downtown,Philips,ICU-1,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,16,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.20231Z,4,error_count,hospital_device_data,Blood Refrigerators,CG2-DEV-013,Non-Critical,Healthy,City General,CG2,Downtown,Philips,ICU-1,Idle
,,17,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.20231Z,82,health_percent,hospital_device_data,Blood Refrigerators,CG2-DEV-013,Non-Critical,Healthy,City General,CG2,Downtown,Philips,ICU-1,Idle
,,18,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.20231Z,97,load,hospital_device_data,Blood Refrigerators,CG2-DEV-013,Non-Critical,Healthy,City General,CG2,Downtown,Philips,ICU-1,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,19,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.20231Z,49.5,temperature,hospital_device_data,Blood Refrigerators,CG2-DEV-013,Non-Critical,Healthy,City General,CG2,Downtown,Philips,ICU-1,Idle
,,20,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.20231Z,234.86,voltage,hospital_device_data,Blood Refrigerators,CG2-DEV-013,Non-Critical,Healthy,City General,CG2,Downtown,Philips,ICU-1,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,21,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202574Z,66,battery_level,hospital_device_data,Blood Refrigerators,MC8-DEV-003,Non-Critical,Healthy,Metro Central,MC8,North District,GE,NICU,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,22,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202574Z,4.36,current,hospital_device_data,Blood Refrigerators,MC8-DEV-003,Non-Critical,Healthy,Metro Central,MC8,North District,GE,NICU,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,23,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202574Z,2,error_count,hospital_device_data,Blood Refrigerators,MC8-DEV-003,Non-Critical,Healthy,Metro Central,MC8,North District,GE,NICU,Down
,,24,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202574Z,88,health_percent,hospital_device_data,Blood Refrigerators,MC8-DEV-003,Non-Critical,Healthy,Metro Central,MC8,North District,GE,NICU,Down
,,25,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202574Z,38,load,hospital_device_data,Blood Refrigerators,MC8-DEV-003,Non-Critical,Healthy,Metro Central,MC8,North District,GE,NICU,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,26,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202574Z,45.56,temperature,hospital_device_data,Blood Refrigerators,MC8-DEV-003,Non-Critical,Healthy,Metro Central,MC8,North District,GE,NICU,Down
,,27,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202574Z,219.29,voltage,hospital_device_data,Blood Refrigerators,MC8-DEV-003,Non-Critical,Healthy,Metro Central,MC8,North District,GE,NICU,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,28,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:21:16.202581Z,89,battery_level,hospital_device_data,Blood Refrigerators,MC8-DEV-004,Critical,Healthy,Metro Central,MC8,North District,Siemens,ICU-1,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
